latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
52.48099,4.59254,297.85,0.54,0.51,2026-09-18,0117,N,nominal,2.0NRT,283.85,2.19,N
52.47674,4.58352,295.96,0.55,0.51,2026-09-18,0117,N,nominal,2.0NRT,284.1,1.25,N
52.4753,4.60806,310.11,0.54,0.51,2026-09-18,0117,N,nominal,2.0NRT,284.92,1.22,N
52.20997,8.05557,303.27,0.39,0.44,2026-09-18,0117,N,nominal,2.0NRT,284.92,0.78,N
52.20694,8.043,295.33,0.39,0.44,2026-09-18,0117,N,nominal,2.0NRT,283.51,0.98,N
52.20643,8.04881,300.73,0.39,0.44,2026-09-18,0117,N,nominal,2.0NRT,283.29,0.98,N
50.49179,19.45229,307.51,0.43,0.38,2026-09-18,0117,N,nominal,2.0NRT,282.31,0.93,N
50.49064,19.45815,302.18,0.43,0.38,2026-09-18,0117,N,nominal,2.0NRT,282.55,0.93,N
46.46507,33.60524,311.36,0.66,0.73,2026-09-18,0117,N,nominal,2.0NRT,281.15,2.32,N
50.34089,19.33377,304.23,0.43,0.38,2026-09-18,0117,N,nominal,2.0NRT,285.05,1.68,N
50.34437,19.29712,295.76,0.43,0.38,2026-09-18,0117,N,nominal,2.0NRT,281.36,0.47,N
50.34035,19.33294,301.02,0.43,0.38,2026-09-18,0117,N,nominal,2.0NRT,283.99,1.01,N
50.34375,19.29624,296.31,0.43,0.38,2026-09-18,0117,N,nominal,2.0NRT,280.78,0.99,N
50.3381,19.2872,321.61,0.43,0.38,2026-09-18,0117,N,nominal,2.0NRT,285.13,2.25,N
50.33472,19.28561,319.76,0.43,0.38,2026-09-18,0117,N,nominal,2.0NRT,284.12,2.32,N
50.53635,17.97744,297.37,0.4,0.37,2026-09-18,0117,N,nominal,2.0NRT,284.44,0.83,N
50.53306,17.97596,303.52,0.4,0.37,2026-09-18,0117,N,nominal,2.0NRT,284.22,0.83,N
50.41663,18.14532,295.54,0.41,0.37,2026-09-18,0117,N,nominal,2.0NRT,283.32,1.22,N
47.78671,29.03214,298.6,0.38,0.59,2026-09-18,0117,N,nominal,2.0NRT,282.05,0.77,N
47.78452,29.01935,296.5,0.38,0.59,2026-09-18,0117,N,nominal,2.0NRT,284.38,1.15,N
51.48471,6.70611,330.64,0.44,0.46,2026-09-18,0117,N,nominal,2.0NRT,285.66,2.5,N
51.4837,6.71879,327.22,0.43,0.46,2026-09-18,0117,N,nominal,2.0NRT,285.06,3.85,N
51.4842,6.71247,305.8,0.44,0.46,2026-09-18,0117,N,nominal,2.0NRT,284.18,2.5,N
51.47943,6.71791,307.75,0.43,0.46,2026-09-18,0117,N,nominal,2.0NRT,282.9,1.64,N
51.4604,6.73984,304.94,0.43,0.46,2026-09-18,0117,N,nominal,2.0NRT,282.31,0.98,N
49.85935,18.27728,295.23,0.41,0.37,2026-09-18,0117,N,nominal,2.0NRT,280.04,0.62,N
51.36999,6.70191,302.1,0.43,0.46,2026-09-18,0117,N,nominal,2.0NRT,283.69,1.45,N
51.36573,6.70108,321.59,0.43,0.46,2026-09-18,0117,N,nominal,2.0NRT,283.62,1.44,N
51.36523,6.70742,316.33,0.43,0.46,2026-09-18,0117,N,nominal,2.0NRT,284.87,1.44,N
51.36147,6.70023,301.3,0.43,0.46,2026-09-18,0117,N,nominal,2.0NRT,283.14,1.44,N
51.36097,6.70655,301.08,0.43,0.46,2026-09-18,0117,N,nominal,2.0NRT,283.04,1.44,N
51.35622,6.71199,297.32,0.43,0.46,2026-09-18,0117,N,nominal,2.0NRT,283.38,0.99,N
49.68448,18.6575,303.01,0.42,0.38,2026-09-18,0117,N,nominal,2.0NRT,284.09,1.16,N
49.6834,18.66319,303.41,0.42,0.38,2026-09-18,0117,N,nominal,2.0NRT,283.02,1.16,N
49.68003,18.66166,322.98,0.42,0.38,2026-09-18,0117,N,nominal,2.0NRT,284.06,1.16,N
51.26606,4.3242,298.03,0.55,0.51,2026-09-18,0117,N,nominal,2.0NRT,285.98,1.81,N
51.25569,4.33868,298.68,0.54,0.51,2026-09-18,0117,N,nominal,2.0NRT,286.2,1.23,N
51.1746,3.81068,336.02,0.57,0.52,2026-09-18,0117,N,nominal,2.0NRT,286.94,3.16,N
51.17503,3.80228,297.54,0.57,0.52,2026-09-18,0117,N,nominal,2.0NRT,284.65,3.16,N
51.16932,3.81835,344.13,0.57,0.52,2026-09-18,0117,N,nominal,2.0NRT,286.35,10.78,N
51.17019,3.80157,308.53,0.57,0.52,2026-09-18,0117,N,nominal,2.0NRT,285.65,3.16,N
51.16975,3.80999,315.07,0.57,0.52,2026-09-18,0117,N,nominal,2.0NRT,284.59,3.16,N
51.16491,3.80928,308.06,0.57,0.52,2026-09-18,0117,N,nominal,2.0NRT,283.91,2.57,N
49.89413,15.64151,301.99,0.38,0.36,2026-09-18,0117,N,nominal,2.0NRT,281.83,0.87,N
51.1766,3.81321,303.57,0.57,0.52,2026-09-18,0117,N,nominal,2.0NRT,284.7,2.33,N
51.17223,3.80418,331.57,0.57,0.52,2026-09-18,0117,N,nominal,2.0NRT,286.38,6.98,N
51.17175,3.81253,310.9,0.57,0.52,2026-09-18,0117,N,nominal,2.0NRT,284.39,2.33,N
51.17128,3.82089,317.85,0.57,0.52,2026-09-18,0117,N,nominal,2.0NRT,284.56,2.33,N
51.16644,3.82018,345.71,0.57,0.52,2026-09-18,0117,N,nominal,2.0NRT,283.96,6.08,N
51.16739,3.80348,308.55,0.57,0.52,2026-09-18,0117,N,nominal,2.0NRT,284.77,2.35,N
51.16692,3.81184,319.88,0.57,0.52,2026-09-18,0117,N,nominal,2.0NRT,284.54,6.08,N
50.87631,6.92033,299.26,0.42,0.45,2026-09-18,0117,N,nominal,2.0NRT,285.59,0.59,N
51.04504,2.29696,320.58,0.33,0.55,2026-09-18,0117,N,nominal,2.0NRT,285.72,1.41,N
51.04485,2.30183,309.99,0.33,0.55,2026-09-18,0117,N,nominal,2.0NRT,283.91,0.71,N
51.04006,2.2915,296.47,0.33,0.55,2026-09-18,0117,N,nominal,2.0NRT,284.22,1.41,N
51.03967,2.30125,296.73,0.33,0.55,2026-09-18,0117,N,nominal,2.0NRT,283.49,0.71,N
51.03526,2.28119,315.79,0.33,0.55,2026-09-18,0117,N,nominal,2.0NRT,283.72,0.75,N
51.03046,2.27084,307.91,0.33,0.56,2026-09-18,0117,N,nominal,2.0NRT,283.62,0.92,N
51.02528,2.27027,328.8,0.33,0.56,2026-09-18,0117,N,nominal,2.0NRT,284,1.39,N
51.0342,2.28203,310.03,0.33,0.55,2026-09-18,0117,N,nominal,2.0NRT,283.32,0.9,N
51.02945,2.27168,325.59,0.33,0.55,2026-09-18,0117,N,nominal,2.0NRT,284.76,2,N
